id,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_duration,hour,dayofweek,is_rush_hour,time_period
id2552207,2016-01-19 03:29:26,-73.98753356933594,40.7583122253418,-73.99176025390625,40.7590446472168,1,152,3,1,False,Night
id3890835,2016-01-27 06:54:02,-73.97663879394531,40.765743255615234,-73.97118377685547,40.76408767700195,1,193,6,2,False,Night
id0789676,2016-01-06 06:40:41,-73.94606018066406,40.77766418457031,-73.97225189208984,40.759037017822266,1,739,6,2,False,Night
id1834009,2016-01-17 01:14:25,-73.98700714111328,40.725303649902344,-73.99163818359375,40.74871063232422,5,632,1,6,False,Night
id1358148,2016-01-31 03:39:36,-73.95816040039062,40.71331787109375,-73.9533920288086,40.68086624145508,1,608,3,6,False,Night
id0729673,2016-01-20 05:41:36,-73.95423126220702,40.774272918701165,-73.99996948242188,40.718109130859375,1,930,5,2,False,Night
id1875360,2016-01-17 00:19:19,-74.00270080566406,40.73382186889648,-74.01388549804688,40.702301025390625,1,568,0,6,False,Night
id2558406,2016-01-29 06:14:04,-73.99166107177734,40.73860549926758,-73.97187805175781,40.75054931640625,2,370,6,4,False,Night
id3385335,2016-01-16 02:30:15,-73.95110321044922,40.778831481933594,-73.94190979003906,40.787208557128906,1,278,2,5,False,Night
id3289487,2016-01-17 00:54:15,-73.96245574951172,40.79973602294922,-73.99166870117188,40.72258758544922,1,1319,0,6,False,Night
id2657588,2016-01-19 06:13:03,-73.99175262451172,40.750144958496094,-73.98661804199219,40.74453353881836,1,139,6,1,False,Night
id2487282,2016-01-21 01:54:46,-73.99002075195312,40.72547912597656,-73.912841796875,40.70354080200195,1,998,1,3,False,Night
id3062291,2016-01-27 00:31:30,-73.95869445800781,40.71271896362305,-73.9879608154297,40.718891143798835,1,290,0,2,False,Night
id0357294,2016-01-30 02:54:35,-73.9909439086914,40.72687530517578,-73.9864501953125,40.71857070922851,1,388,2,5,False,Night
id2360852,2016-01-16 01:30:04,-73.98703002929688,40.72254943847656,-74.0073013305664,40.705299377441406,1,646,1,5,False,Night
id3164461,2016-01-21 00:50:27,-73.96784210205078,40.762939453125,-73.92160034179688,40.77312088012695,1,1349,0,3,False,Night
id0122376,2016-01-22 00:28:21,-73.97128295898438,40.76665115356445,-73.98477172851562,40.75096893310547,1,291,0,4,False,Night
id3391478,2016-01-16 06:17:15,-73.97367858886719,40.743953704833984,-73.99042510986328,40.756195068359375,1,464,6,5,False,Night
id2413506,2016-01-06 03:00:36,-74.00936889648438,40.73823547363281,-74.00282287597656,40.7398567199707,2,255,3,2,False,Night
id3058528,2016-01-08 00:28:11,-73.96026611328125,40.7730598449707,-73.96324157714844,40.798614501953125,1,537,0,4,False,Night
id1981496,2016-01-17 02:10:25,-73.98565673828125,40.76369094848633,-73.97379302978516,40.731876373291016,1,929,2,6,False,Night
id1542004,2016-01-10 01:43:17,-74.00383758544922,40.73429107666016,-73.98916625976562,40.74042892456055,1,506,1,6,False,Night
id2591817,2016-01-10 03:15:28,-73.96868133544922,40.75474548339844,-73.97908020019531,40.76144027709961,2,187,3,6,False,Night
